"Year";"NbPublis";"NbInsts";"NbCountries";"NbTopics";"MeanPublisInsts";"MeanTopicsInsts";"MeanPublisCountries";"MeanInstsCountries";"MeanTopicsCountries"
1900;3419;1084;61;1194;3,18726937269373;2,76476014760148;56,2622950819672;17,7704918032787;32,8524590163934
1901;3635;1127;59;1225;3,27950310559006;2,85803016858917;62,2881355932203;19,1016949152542;36,3220338983051
1902;4016;1186;63;1275;3,4283305227656;2,92664418212479;64,2380952380952;18,8253968253968;35,1746031746032
1903;4078;1216;63;1290;3,38404605263158;2,91529605263158;64,984126984127;19,3015873015873;35,5873015873016
1904;4356;1295;62;1383;3,4015444015444;2,95057915057915;70,7096774193548;20,8870967741935;40,0483870967742
1905;4505;1386;70;1424;3,28932178932179;2,89105339105339;64,6428571428571;19,8;36,3571428571429
1906;4604;1362;65;1433;3,42143906020558;2,98751835535976;71,1846153846154;20,9538461538462;39,6153846153846
1907;5141;1456;76;1520;3,57417582417582;3,12019230769231;67,9605263157895;19,1578947368421;37,3421052631579
1908;5262;1480;71;1543;3,59932432432432;3,20202702702703;74,4929577464789;20,8450704225352;40,3521126760563
1909;5347;1495;75;1559;3,61672240802676;3,17993311036789;71,64;19,9333333333333;38,0933333333333
1910;5416;1590;77;1613;3,44591194968553;3,07798742138365;70,6363636363636;20,6493506493506;39,1298701298701
1911;6000;1643;74;1656;3,72671941570298;3,27023737066342;81,7297297297297;22,2027027027027;43,7297297297297
1912;6179;1605;71;1698;3,90031152647975;3,40311526479751;87,3802816901408;22,6056338028169;45,1408450704225
1913;6811;1658;78;1798;4,1670687575392;3,58866103739445;87,8589743589744;21,2564102564103;44,8205128205128
1914;6698;1657;76;1776;4,11707905853953;3,5872057936029;88,8947368421053;21,8026315789474;45,7368421052632
1915;5675;1551;70;1723;3,7143778207608;3,28820116054159;81,4857142857143;22,1571428571429;43,3857142857143
1916;5607;1582;69;1704;3,59418457648546;3,21744627054362;81,5942028985507;22,9275362318841;42,9565217391304
1917;5368;1517;69;1661;3,58668424522083;3,23071852340145;78,0289855072464;21,9855072463768;40,5072463768116
1918;5305;1462;66;1627;3,67989056087551;3,22161422708618;80,8181818181818;22,1515151515152;42,0606060606061
1919;5715;1569;75;1670;3,68769917144678;3,18291905672403;76,5866666666667;20,92;39,0666666666667
1920;7382;1824;80;1956;4,12719298245614;3,58662280701754;93,0875;22,8;47,175
1921;8805;1997;88;2030;4,47871807711567;3,84026039058588;100,431818181818;22,6931818181818;47,5113636363636
1922;10161;2170;87;2163;4,74700460829493;4,0778801843318;117,402298850575;24,9425287356322;53,9540229885057
1923;10472;2126;88;2192;4,99435559736595;4,28363123236124;119,511363636364;24,1590909090909;55,3636363636364
1924;11757;2345;88;2254;5,09637526652452;4,3138592750533;134,420454545455;26,6477272727273;60,3295454545455
1925;12252;2374;90;2320;5,24852569502949;4,43723673125527;137,022222222222;26,3777777777778;59,6777777777778
1926;13795;2498;106;2394;5,60568454763811;4,71377101681345;131,132075471698;23,5660377358491;56,0754716981132
1927;14590;2672;106;2457;5,63285928143713;4,76833832335329;139,566037735849;25,2075471698113;59,4905660377358
1928;14973;2729;106;2485;5,55551484060095;4,69182850861121;141,72641509434;25,7452830188679;59,2641509433962
1929;14951;2765;104;2520;5,48896925858951;4,67052441229656;144,355769230769;26,5865384615385;61,4230769230769
1930;17198;3023;107;2585;5,7925901422428;4,8809130003308;161,663551401869;28,2523364485981;64,8224299065421
1931;16872;3002;102;2629;5,73717521652232;4,91938707528314;166,264705882353;29,4313725490196;67,5980392156863
1932;17614;2968;100;2642;6,04919137466307;5,15128032345013;177,36;29,68;70,05
1933;18303;2972;98;2655;6,28532974427995;5,36204576043069;187,867346938776;30,3265306122449;73,9897959183673
1934;18285;3060;106;2722;6,1140522875817;5,21895424836601;173,556603773585;28,8679245283019;69,9433962264151
1935;18633;3153;102;2747;6,06850618458611;5,21344751030764;183,598039215686;30,9117647058824;73,6274509803922
1936;19466;3285;114;2773;6,06027397260274;5,19482496194825;171,631578947368;28,8157894736842;67,640350877193
1937;20022;3413;110;2808;6,00146498681512;5,15470260767653;183,190909090909;31,0272727272727;71,5454545454545
1938;20501;3464;111;2874;6,07650115473441;5,23672055427252;185,981981981982;31,2072072072072;72,7387387387387
1939;20964;3472;102;2848;6,20276497695852;5,26670506912442;206,823529411765;34,0392156862745;75,0882352941177
1940;20114;3406;105;2863;6,06488549618321;5,17381092190252;192,714285714286;32,4380952380952;69,2571428571429
1941;19688;3356;100;2867;6,03992848629321;5,13408820023838;198,09;33,56;70,47
1942;18631;3278;106;2800;5,84106162294082;5,02867602196461;176,867924528302;30,9245283018868;62,1415094339623
1943;16717;3226;104;2734;5,34717916924984;4,60198388096714;161,884615384615;31,0192307692308;60,7788461538462
1944;15298;3114;108;2681;5,07707129094412;4,37861271676301;142,888888888889;28,8333333333333;56,2685185185185
1945;15007;3043;95;2687;5,09792967466316;4,43246795925074;159,242105263158;32,0315789473684;61,8421052631579
1946;17979;3443;108;2852;5,41126924194017;4,63374963694453;167,648148148148;31,8796296296296;63,8981481481481
