year,country,from_start,dist_yearly
1970,AE,0.0,
1971,AE,0.9166666666666666,0.9166666666666666
1972,AE,0.9,1.0
1973,AE,0.8181818181818182,0.8
1974,AE,1.0,0.8
1975,AE,1.0,1.0
1976,AE,0.8181818181818182,1.0
1977,AE,1.0,1.0
1978,AE,0.8333333333333334,0.8571428571428571
1979,AE,0.8333333333333334,0.75
1980,AE,1.0,1.0
1981,AE,0.9285714285714286,0.8333333333333334
1982,AE,0.8888888888888888,1.0
1983,AE,1.0,1.0
1984,AE,1.0,1.0
1985,AE,0.9166666666666666,1.0
1986,AE,0.8,0.8181818181818182
1987,AE,0.85,0.7894736842105263
1988,AE,0.9444444444444444,0.8571428571428571
1989,AE,1.0,0.9523809523809523
1990,AE,0.9259259259259259,0.896551724137931
1991,AE,0.8888888888888888,0.8518518518518519
1992,AE,0.9354838709677419,0.9393939393939394
1993,AE,0.9090909090909091,0.8666666666666667
1994,AE,0.95,0.723404255319149
1995,AE,0.9523809523809523,0.7857142857142857
1996,AE,0.9454545454545454,0.8493150684931506
1997,AE,0.96,0.704225352112676
1998,AE,0.8863636363636364,0.703125
1999,AE,0.9649122807017544,0.75
2000,AE,0.9558823529411765,0.6172839506172839
2001,AE,0.9130434782608695,0.5934065934065934
2002,AE,0.9459459459459459,0.65
2003,AE,0.9473684210526315,0.5714285714285714
2004,AE,0.9381443298969072,0.5546875
2005,AE,0.9351851851851852,0.4732824427480916
2006,AE,0.9279279279279279,0.43478260869565216
2007,AE,0.9304347826086956,0.36496350364963503
2008,AE,0.9312977099236641,0.36666666666666664
2009,AE,0.9402985074626866,0.36024844720496896
2010,AE,0.9455782312925171,0.34911242603550297
2011,AE,0.9387755102040817,0.3446327683615819
2012,AE,0.9387755102040817,0.3103448275862069
2013,AE,0.9444444444444444,0.3021978021978022
2014,AE,0.9482758620689655,0.25
2015,AE,0.9516129032258065,0.208955223880597
2016,AE,0.9528795811518325,0.178743961352657
2017,AE,0.9547738693467337,0.16037735849056603
2018,AE,0.9563106796116505,0.17567567567567569
2019,AE,0.9575471698113207,0.13392857142857142
2020,AE,0.9590909090909091,0.11353711790393013
2021,AE,0.9594594594594594,0.10300429184549356
2022,AE,0.9594594594594594,0.11864406779661017
1970,AF,0.0,
1971,AF,1.0,1.0
1972,AF,1.0,0.75
1975,AF,1.0,1.0
1976,AF,1.0,1.0
1977,AF,1.0,1.0
1979,AF,1.0,1.0
1981,AF,1.0,1.0
1982,AF,1.0,1.0
1984,AF,1.0,1.0
1988,AF,1.0,1.0
1989,AF,1.0,1.0
1990,AF,1.0,1.0
1992,AF,1.0,1.0
1993,AF,1.0,1.0
1994,AF,1.0,1.0
1996,AF,1.0,1.0
1997,AF,1.0,1.0
1998,AF,1.0,1.0
2000,AF,1.0,0.0
2001,AF,1.0,1.0
2002,AF,0.0,1.0
2003,AF,1.0,1.0
2004,AF,1.0,1.0
2005,AF,0.6666666666666666,1.0
2006,AF,1.0,0.8
2007,AF,1.0,1.0
2008,AF,1.0,0.7
2009,AF,1.0,0.8461538461538461
2010,AF,0.9523809523809523,0.8888888888888888
2011,AF,1.0,0.9166666666666666
2012,AF,1.0,0.84375
2013,AF,0.96,0.926829268292683
2014,AF,0.9666666666666667,0.7209302325581395
2015,AF,0.9642857142857143,0.7916666666666666
2016,AF,0.9818181818181818,0.8142857142857143
2017,AF,0.9787234042553191,0.725
2018,AF,0.9850746268656716,0.7608695652173914
2019,AF,1.0,0.6605504587155964
2020,AF,0.9878048780487805,0.5877192982456141
2021,AF,0.990909090909091,0.5230769230769231
2022,AF,0.9916666666666667,0.43537414965986393
1970,AG,0.0,
1980,AG,1.0,1.0
1989,AG,1.0,1.0
1991,AG,1.0,1.0
1995,AG,1.0,1.0
1996,AG,1.0,1.0
1997,AG,1.0,1.0
1998,AG,1.0,0.8333333333333334
1999,AG,1.0,1.0
2000,AG,1.0,1.0
2002,AG,1.0,1.0
2004,AG,1.0,1.0
2006,AG,1.0,1.0
2007,AG,1.0,1.0
2008,AG,1.0,0.9090909090909091
2009,AG,1.0,0.8125
2010,AG,1.0,0.9444444444444444
2011,AG,1.0,0.9444444444444444
2012,AG,0.9444444444444444,0.8888888888888888
2013,AG,0.95,0.6896551724137931
2014,AG,0.9655172413793104,0.8048780487804879
2015,AG,1.0,0.7708333333333334
2016,AG,1.0,0.8095238095238095
2017,AG,1.0,0.8235294117647058
2018,AG,0.9655172413793104,0.8048780487804879
2019,AG,0.972972972972973,0.7307692307692307
2020,AG,0.9714285714285714,0.6153846153846154
2021,AG,0.9807692307692307,0.6615384615384615
2022,AG,0.9838709677419355,0.4594594594594595
1970,AL,0.0,
1976,AL,1.0,1.0
1977,AL,1.0,1.0
1978,AL,1.0,0.875
1979,AL,1.0,0.7777777777777778
1980,AL,1.0,0.75
1981,AL,0.8888888888888888,0.9230769230769231
1982,AL,1.0,0.9375
1983,AL,1.0,0.9166666666666666
1984,AL,1.0,0.7142857142857143
1985,AL,1.0,0.7777777777777778
1986,AL,1.0,0.9090909090909091
1987,AL,1.0,1.0
1988,AL,1.0,1.0
1989,AL,1.0,1.0
1990,AL,1.0,1.0
1991,AL,1.0,0.9230769230769231
1992,AL,1.0,0.8461538461538461
1993,AL,0.875,0.8571428571428571
1994,AL,0.9,0.8
1995,AL,0.9166666666666666,0.7777777777777778
1996,AL,1.0,0.8695652173913043
1997,AL,0.9230769230769231,0.8260869565217391
1998,AL,0.9375,0.8846153846153846
1999,AL,1.0,0.8095238095238095
2000,AL,1.0,0.8
2001,AL,1.0,0.9285714285714286
2002,AL,1.0,0.8787878787878788
2003,AL,1.0,0.8387096774193549
2004,AL,1.0,0.8275862068965517
2005,AL,1.0,0.696969696969697
2006,AL,1.0,0.775
2007,AL,1.0,0.8048780487804879
2008,AL,1.0,0.8333333333333334
2009,AL,1.0,0.64
2010,AL,0.98,0.7313432835820896
2011,AL,1.0,0.6521739130434783
2012,AL,1.0,0.7066666666666667
2013,AL,0.9864864864864865,0.6382978723404256
2014,AL,0.9878048780487805,0.6071428571428571
2015,AL,0.9888888888888889,0.5901639344262295
2016,AL,0.9868421052631579,0.5045045045045045
2017,AL,0.9895833333333334,0.49122807017543857
2018,AL,0.9894736842105263,0.49606299212598426
2019,AL,0.9901960784313726,0.5075757575757576
2020,AL,0.9913793103448276,0.4861111111111111
2021,AL,0.9926470588235294,0.4539877300613497
2022,AL,0.9923076923076923,0.35802469135802467
1970,AM,0.0,
1971,AM,1.0,1.0
1972,AM,0.7857142857142857,0.9230769230769231
1973,AM,0.8947368421052632,0.9473684210526315
1974,AM,0.8888888888888888,0.7894736842105263
1975,AM,0.8125,1.0
1976,AM,0.8571428571428571,0.8095238095238095
1977,AM,0.88,0.8666666666666667
1978,AM,0.9444444444444444,0.9259259259259259
1979,AM,0.9259259259259259,0.8461538461538461
1980,AM,0.9583333333333334,0.9411764705882353
1981,AM,0.96,0.8620689655172413
1982,AM,0.9090909090909091,0.8148148148148148
1983,AM,0.8846153846153846,0.75
1984,AM,0.9642857142857143,0.8235294117647058
1985,AM,0.88,0.8181818181818182
1986,AM,0.92,0.8064516129032258
1987,AM,0.9259259259259259,0.7333333333333333
1988,AM,0.9642857142857143,0.7096774193548387
1989,AM,0.8484848484848485,0.7435897435897436
1990,AM,0.9393939393939394,0.7209302325581395
1991,AM,0.9090909090909091,0.8222222222222222
1992,AM,0.9024390243902439,0.8113207547169812
1993,AM,0.8913043478260869,0.7419354838709677
1994,AM,0.9512195121951219,0.711864406779661
1995,AM,0.8974358974358975,0.7636363636363637
1996,AM,0.9148936170212766,0.6181818181818182
1997,AM,0.8958333333333334,0.65625
1998,AM,0.8604651162790697,0.6666666666666666
1999,AM,0.8958333333333334,0.6
2000,AM,0.8909090909090909,0.6086956521739131
2001,AM,0.9090909090909091,0.6617647058823529
2002,AM,0.9259259259259259,0.6666666666666666
2003,AM,0.9,0.582089552238806
2004,AM,0.9038461538461539,0.5970149253731343
2005,AM,0.9285714285714286,0.625
2006,AM,0.9285714285714286,0.6551724137931034
2007,AM,0.9594594594594594,0.574468085106383
2008,AM,0.9459459459459459,0.5729166666666666
2009,AM,0.9305555555555556,0.5425531914893617
2010,AM,0.9032258064516129,0.6195652173913043
2011,AM,0.927710843373494,0.5368421052631579
2012,AM,0.9195402298850575,0.5775862068965517
2013,AM,0.9263157894736842,0.4915254237288136
2014,AM,0.9313725490196079,0.4921875
2015,AM,0.9393939393939394,0.4065040650406504
2016,AM,0.9272727272727272,0.5036496350364964
2017,AM,0.9532710280373832,0.5578231292517006
2018,AM,0.9326923076923077,0.49264705882352944
2019,AM,0.95,0.4244604316546763
2020,AM,0.9416058394160584,0.36774193548387096
2021,AM,0.9552238805970149,0.4294117647058823
2022,AM,0.9492753623188406,0.39156626506024095
1970,AR,0.0,
1971,AR,0.8421052631578947,0.8421052631578947
1972,AR,0.8571428571428571,0.782608695652174
1973,AR,0.8571428571428571,0.8
1974,AR,0.864406779661017,0.7608695652173914
1975,AR,0.8620689655172413,0.7959183673469388
1976,AR,0.8461538461538461,0.7
1977,AR,0.8448275862068966,0.8478260869565217
1978,AR,0.8064516129032258,0.7592592592592593
1979,AR,0.8387096774193549,0.7368421052631579
1980,AR,0.8833333333333333,0.75
1981,AR,0.8064516129032258,0.7358490566037735
1982,AR,0.8108108108108109,0.625
1983,AR,0.8533333333333334,0.6111111111111112
1984,AR,0.84,0.6621621621621622
1985,AR,0.7974683544303798,0.65
1986,AR,0.8297872340425532,0.4942528735632184
1987,AR,0.8023255813953488,0.4725274725274725
1988,AR,0.7529411764705882,0.5483870967741935
1989,AR,0.7849462365591398,0.5643564356435643
1990,AR,0.7788461538461539,0.5045045045045045
1991,AR,0.7884615384615384,0.5083333333333333
1992,AR,0.8157894736842105,0.45454545454545453
1993,AR,0.8053097345132744,0.4065040650406504
1994,AR,0.7796610169491526,0.3984375
1995,AR,0.8050847457627118,0.4253731343283582
1996,AR,0.8222222222222222,0.3971631205673759
1997,AR,0.8156028368794326,0.34210526315789475
1998,AR,0.8356164383561644,0.3248407643312102
1999,AR,0.8055555555555556,0.33540372670807456
2000,AR,0.8104575163398693,0.2822085889570552
2001,AR,0.8224852071005917,0.29444444444444445
2002,AR,0.8209876543209876,0.26373626373626374
2003,AR,0.8171428571428572,0.20994475138121546
2004,AR,0.8166666666666667,0.23469387755102042
2005,AR,0.8287292817679558,0.2182741116751269
2006,AR,0.8142076502732241,0.21608040201005024
2007,AR,0.8288770053475936,0.25120772946859904
2008,AR,0.8223350253807107,0.2132701421800948
2009,AR,0.8205128205128205,0.18691588785046728
2010,AR,0.8186274509803921,0.17050691244239632
2011,AR,0.8277511961722488,0.1187214611872146
2012,AR,0.8262910798122066,0.11210762331838565
2013,AR,0.8287037037037037,0.10176991150442478
2014,AR,0.8318181818181818,0.08771929824561403
2015,AR,0.8348623853211009,0.1
2016,AR,0.8333333333333334,0.09130434782608696
2017,AR,0.8333333333333334,0.0944206008583691
2018,AR,0.8310502283105022,0.09090909090909091
2019,AR,0.8318181818181818,0.06607929515418502
2020,AR,0.8355555555555556,0.0735930735930736
2021,AR,0.8370044052863436,0.09282700421940929
