year,country,from_start,dist_yearly
1970,AE,0.0,
1971,AE,0.90625,0.90625
1972,AE,0.8611111111111112,0.5454545454545454
1973,AE,0.78125,0.5
1974,AE,0.84375,0.6666666666666666
1975,AE,0.7741935483870968,0.6521739130434783
1976,AE,0.7586206896551724,0.5714285714285714
1977,AE,0.8387096774193549,0.6
1978,AE,0.8333333333333334,0.7407407407407407
1979,AE,0.7777777777777778,0.76
1980,AE,0.8787878787878788,0.7
1981,AE,0.8611111111111112,0.6923076923076923
1982,AE,0.84375,0.6923076923076923
1983,AE,0.8529411764705882,0.6666666666666666
1984,AE,0.8888888888888888,0.6538461538461539
1985,AE,0.8857142857142857,0.8333333333333334
1986,AE,0.8064516129032258,0.72
1987,AE,0.8157894736842105,0.7333333333333333
1988,AE,0.925,0.7777777777777778
1989,AE,0.8292682926829268,0.7631578947368421
1990,AE,0.8444444444444444,0.7272727272727273
1991,AE,0.8939393939393939,0.7142857142857143
1992,AE,0.8870967741935484,0.6933333333333334
1993,AE,0.8333333333333334,0.7471264367816092
1994,AE,0.855072463768116,0.632183908045977
1995,AE,0.8125,0.6785714285714286
1996,AE,0.8488372093023255,0.6063829787234043
1997,AE,0.8735632183908046,0.5566037735849056
1998,AE,0.8478260869565217,0.5714285714285714
1999,AE,0.8352941176470589,0.5877192982456141
2000,AE,0.88,0.5726495726495726
2001,AE,0.9019607843137255,0.5
2002,AE,0.8796296296296297,0.5
2003,AE,0.8782608695652174,0.4852941176470588
2004,AE,0.8842975206611571,0.37037037037037035
2005,AE,0.8962962962962963,0.3783783783783784
2006,AE,0.8968253968253969,0.4155844155844156
2007,AE,0.8796992481203008,0.45569620253164556
2008,AE,0.891156462585034,0.37575757575757573
2009,AE,0.8918918918918919,0.36416184971098264
2010,AE,0.8881987577639752,0.329608938547486
2011,AE,0.9,0.27807486631016043
2012,AE,0.8922155688622755,0.30927835051546393
2013,AE,0.8936170212765957,0.2975609756097561
2014,AE,0.9027027027027027,0.24401913875598086
2015,AE,0.8950276243093923,0.24019607843137256
2016,AE,0.9095477386934674,0.22380952380952382
2017,AE,0.8963730569948186,0.19626168224299065
2018,AE,0.8970588235294118,0.17592592592592593
2019,AE,0.9056603773584906,0.1141552511415525
2020,AE,0.8976744186046511,0.10267857142857142
2021,AE,0.8976744186046511,0.09734513274336283
2022,AE,0.8962264150943396,0.11061946902654868
1970,AF,0.0,
1971,AF,1.0,1.0
1972,AF,1.0,1.0
1973,AF,1.0,0.875
1974,AF,1.0,1.0
1975,AF,1.0,1.0
1976,AF,1.0,0.8
1977,AF,0.8888888888888888,1.0
1978,AF,1.0,1.0
1979,AF,1.0,0.6
1980,AF,1.0,0.7142857142857143
1981,AF,1.0,0.8
1982,AF,1.0,0.5
1983,AF,1.0,1.0
1984,AF,1.0,1.0
1985,AF,1.0,1.0
1986,AF,1.0,1.0
1987,AF,1.0,0.75
1988,AF,1.0,0.8333333333333334
1989,AF,1.0,0.8333333333333334
1990,AF,1.0,0.8
1992,AF,1.0,1.0
1993,AF,1.0,1.0
1994,AF,1.0,1.0
1995,AF,1.0,1.0
1996,AF,1.0,0.8333333333333334
1997,AF,1.0,0.8333333333333334
1998,AF,1.0,1.0
1999,AF,1.0,1.0
2000,AF,0.9090909090909091,0.7142857142857143
2001,AF,1.0,0.7142857142857143
2002,AF,1.0,0.8
2003,AF,1.0,0.6
2004,AF,1.0,0.875
2005,AF,1.0,0.875
2006,AF,1.0,0.75
2007,AF,1.0,0.6666666666666666
2008,AF,1.0,0.75
2009,AF,1.0,0.9
2010,AF,1.0,0.7857142857142857
2011,AF,1.0,0.85
2012,AF,1.0,0.8571428571428571
2013,AF,1.0,0.8709677419354839
