medoid,cluster,year
UA,1,1971
AU,0,1971
IN,1,1972
MX,0,1972
ZM,0,1973
IN,1,1973
NG,0,1974
PL,1,1974
RU,1,1975
BR,0,1975
CH,0,1976
GY,1,1976
NI,1,1977
IL,0,1977
NG,0,1978
IN,1,1978
IN,1,1979
CU,0,1979
VE,0,1980
PS,1,1980
CL,0,1981
CN,1,1981
DO,1,1982
BE,0,1982
CN,1,1983
BR,0,1983
SK,1,1984
JM,0,1984
CO,1,1985
AT,0,1985
TW,1,1986
AU,0,1986
DE,0,1987
CO,1,1987
NZ,0,1988
RO,1,1988
IL,0,1989
DO,1,1989
PE,1,1990
IL,0,1990
RS,1,1991
ZM,0,1991
CO,1,1992
DE,0,1992
CO,1,1993
PT,0,1993
GR,1,1994
UY,0,1994
CO,1,1995
CZ,0,1995
CN,1,1996
AU,0,1996
DE,0,1997
CO,1,1997
SK,1,1998
ZA,0,1998
IE,0,1999
SK,1,1999
IL,0,2000
BO,1,2000
IL,0,2001
GH,1,2001
DE,0,2002
CO,1,2002
UY,1,2003
PT,0,2003
PE,1,2004
CA,0,2004
CO,1,2005
FI,0,2005
CL,0,2006
CN,1,2006
PT,0,2007
UY,1,2007
NO,0,2008
PE,1,2008
CR,1,2009
BD,0,2009
CL,0,2010
JO,1,2010
CO,1,2011
BD,0,2011
CL,1,2012
BG,0,2012
CO,1,2013
AT,0,2013
AT,0,2014
CO,1,2014
CL,1,2015
AT,0,2015
SE,0,2016
CL,1,2016
SE,0,2017
ZW,1,2017
SE,0,2018
ZW,1,2018
SE,0,2019
ZW,1,2019
AF,1,2020
SE,0,2020
SE,0,2021
RW,1,2021
CL,1,2022
CA,0,2022
CA,0,2023
PE,1,2023
