country,cluster,year
AE,1,1970
AF,1,1970
AM,1,1970
AO,0,1970
AR,0,1970
AT,1,1970
AU,1,1970
AW,1,1970
AZ,1,1970
BA,1,1970
BB,1,1970
BD,1,1970
BE,1,1970
BF,1,1970
BG,1,1970
BH,1,1970
BI,1,1970
BJ,0,1970
BM,0,1970
BN,1,1970
BO,0,1970
BR,0,1970
BS,1,1970
BT,1,1970
BW,0,1970
BY,1,1970
CA,1,1970
CD,0,1970
CG,0,1970
CH,1,1970
CI,0,1970
CL,0,1970
CM,1,1970
CN,1,1970
CO,0,1970
CR,0,1970
CU,0,1970
CY,0,1970
CZ,1,1970
DE,1,1970
DK,1,1970
DM,1,1970
DZ,0,1970
EC,0,1970
EE,1,1970
EG,1,1970
ES,0,1970
ET,1,1970
FI,1,1970
FJ,0,1970
FR,1,1970
GB,1,1970
GD,1,1970
GE,1,1970
GH,1,1970
GI,0,1970
GL,1,1970
GM,1,1970
GP,0,1970
GR,1,1970
GT,0,1970
GW,1,1970
GY,1,1970
HK,1,1970
HN,1,1970
HR,1,1970
HU,1,1970
ID,0,1970
IE,1,1970
IL,1,1970
IN,1,1970
IQ,1,1970
IR,1,1970
IS,1,1970
IT,1,1970
JM,1,1970
JO,1,1970
JP,1,1970
KE,1,1970
KG,0,1970
KH,1,1970
KP,1,1970
KR,1,1970
KW,1,1970
KZ,1,1970
LA,1,1970
LB,1,1970
LI,1,1970
LK,1,1970
LR,1,1970
LS,1,1970
LT,1,1970
LU,1,1970
LV,1,1970
LY,0,1970
MA,1,1970
MC,1,1970
MD,1,1970
ME,0,1970
MK,1,1970
ML,1,1970
MM,1,1970
MN,1,1970
MO,1,1970
MT,1,1970
MU,1,1970
MW,1,1970
MX,0,1970
MY,1,1970
MZ,1,1970
NC,1,1970
NE,1,1970
NG,1,1970
NI,1,1970
NL,1,1970
NO,1,1970
NP,1,1970
NZ,1,1970
OM,1,1970
PA,0,1970
PE,0,1970
PF,1,1970
PG,0,1970
