country,cluster,year
AU,0,1971
BE,1,1971
CA,0,1971
CH,1,1971
DE,1,1971
FR,1,1971
GB,0,1971
IL,1,1971
IN,1,1971
IT,1,1971
JP,1,1971
NL,1,1971
RU,1,1971
SE,0,1971
US,0,1971
AU,0,1972
BE,1,1972
CA,1,1972
CH,1,1972
DE,1,1972
DK,0,1972
FR,1,1972
GB,0,1972
IL,1,1972
IN,1,1972
IT,1,1972
JP,1,1972
NL,1,1972
RU,1,1972
SE,0,1972
US,0,1972
AU,0,1973
BE,0,1973
CA,0,1973
CH,1,1973
CZ,1,1973
DE,1,1973
DK,0,1973
FR,1,1973
GB,0,1973
IL,1,1973
IN,1,1973
IT,1,1973
JP,1,1973
NL,1,1973
RU,1,1973
SE,0,1973
US,0,1973
AU,0,1974
BE,1,1974
CA,0,1974
CH,1,1974
DE,1,1974
DK,0,1974
FR,1,1974
GB,0,1974
IL,1,1974
IN,1,1974
IT,1,1974
JP,1,1974
NL,1,1974
NO,0,1974
PL,1,1974
RU,1,1974
SE,0,1974
US,0,1974
AU,0,1975
BE,0,1975
CA,0,1975
CH,0,1975
DE,0,1975
DK,0,1975
FR,1,1975
GB,0,1975
IL,0,1975
IN,1,1975
IT,0,1975
JP,1,1975
NL,0,1975
NO,0,1975
PL,1,1975
RU,1,1975
SE,0,1975
US,0,1975
AT,0,1976
AU,0,1976
BE,0,1976
BR,0,1976
CA,0,1976
CH,0,1976
DE,0,1976
DK,1,1976
FI,1,1976
FR,0,1976
GB,0,1976
IL,0,1976
IN,0,1976
IT,0,1976
JP,0,1976
NL,0,1976
NO,1,1976
PL,0,1976
RU,0,1976
SE,1,1976
US,0,1976
AT,1,1977
AU,0,1977
BE,1,1977
BR,0,1977
CA,0,1977
CH,1,1977
DE,1,1977
DK,0,1977
FI,0,1977
FR,1,1977
GB,0,1977
IL,1,1977
IN,1,1977
IT,1,1977
JP,1,1977
NL,1,1977
NO,0,1977
NZ,0,1977
PL,1,1977
RU,1,1977
SE,0,1977
US,0,1977
ZA,0,1977
AT,1,1978
AU,0,1978
BE,0,1978
BR,0,1978
CA,0,1978
CH,0,1978
DE,1,1978
DK,0,1978
ES,0,1978
FI,0,1978
FR,1,1978
GB,0,1978
IL,0,1978
IN,1,1978
IT,1,1978
JP,1,1978
NL,1,1978
NO,0,1978
NZ,0,1978
PL,1,1978
RU,1,1978
SE,0,1978
US,0,1978
ZA,0,1978
AT,1,1979
AU,0,1979
BE,1,1979
BR,0,1979
CA,0,1979
CH,1,1979
CZ,1,1979
DE,1,1979
DK,0,1979
ES,0,1979
FI,0,1979
FR,1,1979
GB,0,1979
IL,0,1979
IN,1,1979
IT,1,1979
JP,1,1979
NL,1,1979
NO,0,1979
NZ,0,1979
PL,1,1979
RU,1,1979
SE,0,1979
US,0,1979
ZA,0,1979
AT,1,1980
AU,0,1980
BE,1,1980
BR,0,1980
CA,0,1980
CH,1,1980
CZ,1,1980
DE,1,1980
DK,0,1980
ES,0,1980
FI,0,1980
FR,1,1980
GB,0,1980
HU,1,1980
IL,0,1980
IN,1,1980
IT,1,1980
JP,1,1980
MX,0,1980
NL,1,1980
NO,0,1980
NZ,0,1980
PL,1,1980
RU,1,1980
SE,0,1980
US,0,1980
ZA,0,1980
AT,1,1981
AU,0,1981
BE,0,1981
BR,0,1981
CA,0,1981
CH,1,1981
CN,1,1981
CZ,1,1981
DE,1,1981
DK,0,1981
ES,0,1981
FI,0,1981
FR,1,1981
GB,0,1981
HU,1,1981
IL,0,1981
IN,1,1981
IT,1,1981
JP,1,1981
MX,0,1981
NL,1,1981
NO,0,1981
NZ,0,1981
PL,1,1981
RU,1,1981
SE,0,1981
US,0,1981
