year,country,cluster
1974,AU,
1974,CA,
1974,CH,
1974,DE,
1974,FR,
1974,GB,
1974,IL,
1974,IN,
1974,IT,
1974,JP,
1974,NL,
1974,RU,
1974,SE,
1974,US,
1975,AU,2.0
1975,CA,4.0
1975,CH,3.0
1975,DE,3.0
1975,FR,3.0
1975,GB,2.0
1975,IL,3.0
1975,IN,3.0
1975,IT,3.0
1975,JP,4.0
1975,NL,4.0
1975,RU,3.0
1975,SE,2.0
1975,US,2.0
1976,AU,2.0
1976,BE,4.0
1976,CA,1.0
1976,CH,3.0
1976,DE,3.0
1976,FR,3.0
1976,GB,2.0
1976,IL,1.0
1976,IN,3.0
1976,IT,3.0
1976,JP,4.0
1976,NL,2.0
1976,RU,3.0
1976,SE,2.0
1976,US,2.0
1977,AU,2.0
1977,BE,4.0
1977,CA,1.0
1977,CH,3.0
1977,DE,3.0
1977,FR,3.0
1977,GB,2.0
1977,IL,1.0
1977,IN,3.0
1977,IT,3.0
1977,JP,4.0
1977,NL,2.0
1977,RU,5.0
1977,SE,2.0
1977,US,2.0
1978,AU,2.0
1978,BE,4.0
1978,CA,1.0
1978,CH,3.0
1978,DE,3.0
1978,DK,2.0
1978,FR,3.0
1978,GB,2.0
1978,HU,3.0
1978,IL,1.0
1978,IN,3.0
1978,IT,3.0
1978,JP,4.0
1978,NL,2.0
1978,PL,3.0
1978,RU,3.0
1978,SE,2.0
1978,US,2.0
1979,AU,2.0
1979,BE,4.0
1979,CA,4.0
1979,CH,3.0
1979,CZ,4.0
1979,DE,3.0
1979,DK,2.0
1979,FR,3.0
1979,GB,2.0
1979,HU,3.0
1979,IL,4.0
1979,IN,3.0
1979,IT,4.0
1979,JP,4.0
1979,NL,2.0
1979,PL,3.0
1979,RU,3.0
1979,SE,2.0
1979,US,2.0
1980,AU,2.0
1980,BE,4.0
1980,BR,4.0
1980,CA,4.0
1980,CH,3.0
1980,CZ,4.0
1980,DE,3.0
1980,DK,2.0
1980,FR,3.0
1980,GB,2.0
1980,HU,3.0
1980,IL,4.0
1980,IN,3.0
1980,IT,4.0
1980,JP,4.0
1980,NL,2.0
1980,PL,3.0
1980,RU,3.0
1980,SE,2.0
1980,US,2.0
1981,AT,3.0
1981,AU,2.0
1981,BE,2.0
1981,BR,1.0
1981,CA,1.0
1981,CH,3.0
1981,CZ,3.0
1981,DE,3.0
1981,DK,2.0
1981,FR,3.0
1981,GB,2.0
1981,HU,3.0
1981,IL,1.0
1981,IN,3.0
1981,IT,4.0
1981,JP,4.0
1981,NL,2.0
1981,NO,2.0
1981,PL,3.0
1981,RU,3.0
1981,SE,2.0
1981,US,2.0
1982,AT,3.0
1982,AU,2.0
1982,BE,2.0
1982,BR,1.0
1982,CA,1.0
1982,CH,3.0
1982,CN,2.0
1982,CZ,3.0
1982,DE,3.0
1982,DK,2.0
1982,ES,3.0
1982,FR,3.0
1982,GB,2.0
1982,HU,3.0
1982,IL,1.0
1982,IN,3.0
1982,IT,2.0
1982,JP,4.0
1982,NL,2.0
1982,NO,2.0
1982,PL,3.0
1982,RU,3.0
1982,SE,2.0
1982,US,2.0
1983,AT,3.0
1983,AU,2.0
1983,BE,2.0
1983,BR,1.0
1983,CA,1.0
1983,CH,4.0
1983,CN,3.0
1983,CZ,3.0
1983,DE,3.0
1983,DK,2.0
1983,ES,3.0
1983,FI,2.0
1983,FR,3.0
1983,GB,2.0
1983,HU,3.0
1983,IL,1.0
1983,IN,3.0
1983,IT,2.0
1983,JP,4.0
