medoid,cluster,year
DE,1,1971
GB,0,1971
AU,0,1972
CH,1,1972
JP,1,1973
GB,0,1973
AU,0,1974
FR,1,1974
IL,0,1975
IN,1,1975
SE,1,1976
BE,0,1976
DE,1,1977
AU,0,1977
AU,0,1978
DE,1,1978
DE,1,1979
AU,0,1979
DE,1,1980
AU,0,1980
FR,1,1981
AU,0,1981
IL,0,1982
IN,1,1982
DE,1,1983
AU,0,1983
AU,0,1984
DE,1,1984
AU,0,1985
DE,1,1985
IL,0,1986
GR,1,1986
IN,1,1987
BE,0,1987
IN,1,1988
BE,0,1988
IN,1,1989
BE,0,1989
BE,0,1990
IN,1,1990
BE,0,1991
IN,1,1991
NL,0,1992
CN,1,1992
BE,0,1993
IN,1,1993
BE,0,1994
IN,1,1994
IN,1,1995
NL,0,1995
IN,1,1996
NL,0,1996
NL,0,1997
IN,1,1997
BE,0,1998
IN,1,1998
NL,0,1999
TW,1,1999
CZ,1,2000
CA,0,2000
CA,0,2001
CN,1,2001
BE,0,2002
IR,1,2002
CA,0,2003
TW,1,2003
CA,0,2004
TW,1,2004
CA,0,2005
TW,1,2005
CA,0,2006
SG,1,2006
CZ,1,2007
BE,0,2007
CA,0,2008
CN,1,2008
BE,0,2009
PK,1,2009
BE,0,2010
CZ,1,2010
BD,1,2011
BE,0,2011
BE,0,2012
IR,1,2012
TH,1,2013
BE,0,2013
VE,1,2014
AT,0,2014
AT,0,2015
ZA,1,2015
ZA,1,2016
AT,0,2016
AT,0,2017
ZA,1,2017
BG,0,2018
ZA,1,2018
PK,0,2019
ZA,1,2019
AT,0,2020
HR,1,2020
PH,1,2021
SE,0,2021
CL,1,2022
SI,0,2022
ZA,1,2023
BE,0,2023
