medoid,cluster,year
SO,4,1971
SC,3,1971
NL,0,1971
GE,1,1971
MY,2,1971
VI,4,1972
RU,1,1972
AU,0,1972
PA,2,1972
MM,3,1972
OM,1,1973
GD,4,1973
UG,2,1973
NL,0,1973
GY,3,1973
SN,2,1974
GI,3,1974
BE,0,1974
AS,4,1974
UA,1,1974
GE,1,1975
TD,4,1975
TH,2,1975
BS,3,1975
IL,0,1975
AU,0,1976
GL,3,1976
SI,1,1976
GI,4,1976
UG,2,1976
BB,2,1977
BF,4,1977
AU,0,1977
PL,1,1977
DJ,3,1977
AU,0,1978
FO,3,1978
PL,1,1978
KE,4,1978
EC,2,1978
SN,4,1979
SK,1,1979
PA,2,1979
AU,0,1979
SR,3,1979
MU,4,1980
PS,2,1980
LR,3,1980
SK,1,1980
AU,0,1980
AU,0,1981
TG,4,1981
CO,2,1981
CN,1,1981
SB,3,1981
ST,3,1982
CR,2,1982
SR,4,1982
CN,1,1982
AU,0,1982
GH,2,1983
ZA,0,1983
AF,3,1983
RU,1,1983
CG,4,1983
RU,1,1984
MU,4,1984
ZW,2,1984
BE,0,1984
MR,3,1984
SM,3,1985
BE,0,1985
CO,2,1985
RW,4,1985
BG,1,1985
SD,4,1986
US,0,1986
MW,2,1986
HT,3,1986
TW,1,1986
CN,1,1987
RW,4,1987
NL,0,1987
KI,3,1987
CO,2,1987
AU,0,1988
GR,1,1988
PE,2,1988
LI,3,1988
WS,4,1988
SN,3,1989
GQ,4,1989
NI,2,1989
RO,1,1989
BE,0,1989
TV,4,1990
SV,2,1990
NE,3,1990
RO,1,1990
AU,0,1990
GR,1,1991
AU,0,1991
PA,2,1991
MV,4,1991
ME,3,1991
CO,2,1992
RU,1,1992
TO,4,1992
BZ,3,1992
IL,0,1992
BB,2,1993
RU,1,1993
ST,4,1993
ML,3,1993
CA,0,1993
RU,1,1994
GH,2,1994
VU,4,1994
ML,3,1994
BE,0,1994
JM,2,1995
PE,3,1995
IL,0,1995
SB,4,1995
RU,1,1995
CN,1,1996
NL,0,1996
CO,3,1996
BS,2,1996
GN,4,1996
UA,1,1997
IE,0,1997
LU,3,1997
GI,2,1997
IR,4,1997
TD,2,1998
BW,3,1998
UY,0,1998
RO,1,1998
DE,4,1998
BO,3,1999
AF,2,1999
GM,4,1999
US,0,1999
CN,1,1999
TO,2,2000
ID,3,2000
CN,1,2000
US,0,2000
GM,4,2000
CN,1,2001
RW,2,2001
IE,0,2001
CO,3,2001
TL,4,2001
CN,1,2002
RW,4,2002
DK,0,2002
GF,2,2002
CO,3,2002
CN,1,2003
MV,4,2003
GN,2,2003
DK,0,2003
CO,3,2003
BO,3,2004
CI,4,2004
TW,1,2004
BT,2,2004
BE,0,2004
NZ,2,2005
SE,0,2005
PE,3,2005
GA,4,2005
CN,1,2005
CO,3,2006
GF,4,2006
AW,2,2006
RO,1,2006
CA,0,2006
BY,1,2007
NO,0,2007
HN,4,2007
UY,2,2007
TD,3,2007
AF,3,2008
CA,0,2008
CU,4,2008
RO,1,2008
EC,2,2008
BD,0,2009
CL,2,2009
CU,4,2009
UA,1,2009
SV,3,2009
CN,1,2010
DJ,4,2010
CA,0,2010
LU,3,2010
CL,2,2010
BW,3,2011
BT,4,2011
CD,2,2011
VN,1,2011
SE,0,2011
PH,2,2012
SE,0,2012
CU,4,2012
DZ,1,2012
BS,3,2012
PY,4,2013
SE,0,2013
VE,2,2013
MN,1,2013
AL,3,2013
GD,4,2014
RE,3,2014
DZ,1,2014
CA,0,2014
CO,2,2014
ZA,2,2015
CZ,1,2015
CG,4,2015
DK,0,2015
RE,3,2015
LT,3,2016
CL,2,2016
DK,0,2016
MQ,4,2016
SG,1,2016
CO,2,2017
SK,1,2017
CG,4,2017
SE,0,2017
BO,3,2017
BY,1,2018
SE,0,2018
BA,2,2018
PY,4,2018
RE,3,2018
NL,0,2019
AL,2,2019
MR,4,2019
LS,3,2019
BG,1,2019
LT,2,2020
NL,1,2020
IR,0,2020
BO,3,2020
AG,4,2020
KZ,1,2021
SV,2,2021
TH,0,2021
ES,3,2021
CF,4,2021
SK,1,2022
GE,3,2022
CO,2,2022
CA,0,2022
GM,4,2022
LT,2,2023
AG,4,2023
BG,1,2023
AU,0,2023
AF,3,2023
