year,cluster,country,countries_share,medoid,total_articles,total_articles_share,mean_distance,n_stayed
1971,0,5,0.022935779816513763,GB,126374.0,0.7394270601727245,0.3844165983892529,
1971,1,10,0.045871559633027525,DE,44534.0,0.2605729398272755,0.4006268297557136,
1972,0,5,0.022935779816513763,AU,127058.0,0.682285849299768,0.3849554510275439,4.0
1972,1,11,0.05045871559633028,CH,59166.0,0.31771415070023196,0.3995838149240802,10.0
1973,0,7,0.03211009174311927,GB,143723.0,0.7312659000712323,0.390097930762941,5.0
1973,1,10,0.045871559633027525,JP,52817.0,0.2687340999287677,0.4076238715091898,9.0
1974,0,7,0.03211009174311927,AU,148599.0,0.7231869105208344,0.39665223587897885,6.0
1974,1,11,0.05045871559633028,FR,56879.0,0.27681308947916566,0.4050657030921186,9.0
1975,0,13,0.05963302752293578,IL,175710.0,0.8485208472169907,0.3885704624026124,7.0
1975,1,5,0.022935779816513763,IN,31368.0,0.1514791527830093,0.4311730180307278,5.0
1976,0,17,0.0779816513761468,BE,215246.0,0.9695503725124546,0.39375536768953534,10.0
1976,1,4,0.01834862385321101,SE,6760.0,0.030449627487545382,0.4183616568286348,
1977,0,11,0.05045871559633028,AU,170252.0,0.7111939145073499,0.3822162188392003,5.0
1977,1,12,0.05504587155963303,DE,69137.0,0.28880608549265,0.38990075337648916,
1978,0,15,0.06880733944954129,AU,187335.0,0.7357030090247179,0.3791484302482292,11.0
1978,1,9,0.04128440366972477,DE,67299.0,0.26429699097528214,0.4048502497110956,9.0
1979,0,13,0.05963302752293578,AU,189910.0,0.7106984611699898,0.3982849853499461,13.0
1979,1,12,0.05504587155963303,DE,77306.0,0.2893015388300102,0.4156992678513395,10.0
1980,0,14,0.06422018348623854,AU,202029.0,0.7027486747088534,0.38169032681995796,13.0
1980,1,13,0.05963302752293578,DE,85455.0,0.2972513252911466,0.40916459072129213,12.0
1981,0,15,0.06880733944954129,AU,217372.0,0.7063655831516282,0.38157617532174387,14.0
1981,1,13,0.05963302752293578,FR,90361.0,0.2936344168483718,0.40994089124704824,12.0
1982,0,19,0.0871559633027523,IL,238095.0,0.7581798207206203,0.3886602050963767,15.0
