year,cluster,country,countries_share,medoid,total_articles,total_articles_share,mean_distance,n_stayed
1971,0,129,0.591743119266055,AU,180044.0,0.9719026823356671,0.49709643498412237,
1971,1,36,0.1651376146788991,UA,5205.0,0.02809731766433287,0.5558185896678398,
1972,0,98,0.44954128440366975,MX,135104.0,0.6730130264763755,0.5282779533217977,84.0
1972,1,69,0.3165137614678899,IN,65641.0,0.3269869735236245,0.4799738504140869,27.0
1973,0,104,0.47706422018348627,ZM,142144.0,0.6707341817546939,0.5319220116245812,80.0
1973,1,67,0.3073394495412844,IN,69779.0,0.3292658182453061,0.48996001682564755,51.0
1974,0,96,0.44036697247706424,NG,146860.0,0.6676698839329148,0.5411824678033377,82.0
1974,1,73,0.3348623853211009,PL,73099.0,0.33233011606708523,0.4834759301066825,53.0
1975,0,134,0.6146788990825688,BR,210667.0,0.9479469930478998,0.5071291807490738,88.0
1975,1,38,0.1743119266055046,RU,11568.0,0.05205300695210025,0.5344371198964931,29.0
1976,0,150,0.6880733944954128,CH,234809.0,0.9996381346479689,0.4879663399150958,117.0
1976,1,16,0.07339449541284404,GY,85.0,0.0003618653520311289,0.7389146413682466,3.0
1977,0,153,0.7018348623853211,IL,251239.0,0.9991847091201221,0.46549327606689744,145.0
1977,1,19,0.0871559633027523,NI,205.0,0.0008152908798778256,0.7155666241367501,9.0
1978,0,104,0.47706422018348627,NG,187350.0,0.7023746147905435,0.5228366371879648,89.0
1978,1,70,0.3211009174311927,IN,79388.0,0.2976253852094565,0.46593778653758505,7.0
1979,0,101,0.463302752293578,CU,175599.0,0.6285467815429551,0.5432556587449678,81.0
1979,1,79,0.3623853211009174,IN,103774.0,0.3714532184570449,0.4788062299716973,51.0
1980,0,151,0.6926605504587156,VE,299707.0,0.9990266634222114,0.4741824378972515,77.0
1980,1,22,0.10091743119266056,PS,292.0,0.0009733365777885927,0.7086752804131606,4.0
1981,0,123,0.5642201834862385,CL,236642.0,0.7384447356924421,0.511536009203199,104.0
1981,1,55,0.25229357798165136,CN,83818.0,0.2615552643075579,0.48679440468025426,3.0
1982,0,141,0.6467889908256881,BE,326246.0,0.9965330914133685,0.47530768625546066,85.0
1982,1,42,0.1926605504587156,DO,1135.0,0.0034669085866314785,0.6094466144197871,7.0
1983,0,118,0.5412844036697247,BR,245583.0,0.7163947911926348,0.5281791093152308,82.0
1983,1,63,0.2889908256880734,CN,97221.0,0.2836052088073651,0.4865123440050044,5.0
1984,0,104,0.47706422018348627,JM,244010.0,0.6677905522456273,0.5388925778231941,95.0
1984,1,75,0.3440366972477064,SK,121389.0,0.3322094477543726,0.47435927850406223,54.0
1985,0,106,0.48623853211009177,AT,376032.0,0.9867094204362669,0.4702344993124384,39.0
1985,1,75,0.3440366972477064,CO,5065.0,0.013290579563733118,0.5570375924452352,5.0
1986,0,135,0.6192660550458715,AU,372516.0,0.9329272873893684,0.48775938762306437,69.0
1986,1,44,0.2018348623853211,TW,26782.0,0.06707271261063166,0.5108830041857451,7.0
1987,0,110,0.5045871559633027,DE,432823.0,0.9866103483725669,0.45551558961582317,67.0
1987,1,74,0.3394495412844037,CO,5874.0,0.013389651627433058,0.5491719615009717,6.0
1988,0,132,0.6055045871559633,NZ,392621.0,0.8574663944003407,0.4963627551613541,68.0
1988,1,57,0.26146788990825687,RO,65264.0,0.1425336055996593,0.48166256599281054,10.0
1989,0,149,0.6834862385321101,IL,482305.0,0.9968171625210553,0.46710628843497215,100.0
1989,1,40,0.1834862385321101,DO,1540.0,0.0031828374789447033,0.59135787896709,7.0
1990,0,145,0.6651376146788991,IL,516035.0,0.9977243374090315,0.4662290673509314,132.0
1990,1,43,0.19724770642201836,PE,1177.0,0.0022756625909685,0.574440640197299,28.0
1991,0,104,0.47706422018348627,ZM,338055.0,0.6306396219762672,0.5118918342868918,69.0
1991,1,81,0.37155963302752293,RS,197996.0,0.36936037802373284,0.438284851966244,6.0
1992,0,110,0.5045871559633027,DE,542129.0,0.9776404437647873,0.4222802940488359,37.0
1992,1,77,0.3532110091743119,CO,12399.0,0.02235955623521265,0.5399942904962495,8.0
1993,0,107,0.4908256880733945,PT,571464.0,0.9813303659742829,0.4448442887983186,91.0
1993,1,92,0.42201834862385323,CO,10872.0,0.018669634025717113,0.5624779161257707,66.0
1994,0,122,0.5596330275229358,UY,352544.0,0.5877173240777324,0.5042150693020564,43.0
1994,1,75,0.3440366972477064,GR,247309.0,0.41228267592226764,0.4471105463183856,9.0
1995,0,100,0.45871559633027525,CZ,524478.0,0.844606770342672,0.43966020133164513,31.0
1995,1,95,0.43577981651376146,CO,96495.0,0.1553932296573281,0.5056091926972051,9.0
1996,0,148,0.6788990825688074,AU,550105.0,0.822277063446746,0.49309809843068686,58.0
1996,1,51,0.23394495412844038,CN,118897.0,0.17772293655325394,0.4944545368728456,7.0
1997,0,117,0.536697247706422,DE,658881.0,0.9629764415467114,0.45912507973251476,75.0
1997,1,76,0.3486238532110092,CO,25332.0,0.03702355845328867,0.48033337657177283,5.0
1998,0,129,0.591743119266055,ZA,483523.0,0.6800576087583315,0.495601048324444,55.0
1998,1,69,0.3165137614678899,SK,227480.0,0.31994239124166846,0.46448549289865043,5.0
1999,0,135,0.6192660550458715,IE,529557.0,0.7147598557406788,0.46327184418712253,119.0
1999,1,60,0.27522935779816515,SK,211331.0,0.28524014425932126,0.4534491013302493,50.0
2000,0,141,0.6467889908256881,IL,802506.0,0.9842701921060281,0.42941282230177064,89.0
2000,1,57,0.26146788990825687,BO,12825.0,0.015729807893971895,0.5144027855899038,10.0
2001,0,142,0.6513761467889908,IL,843867.0,0.9833503271553508,0.428051674546971,123.0
2001,1,57,0.26146788990825687,GH,14288.0,0.01664967284464928,0.4986393159299401,40.0
2002,0,125,0.573394495412844,DE,1085347.0,0.9837992422182339,0.4162006296301486,111.0
2002,1,76,0.3486238532110092,CO,17873.0,0.016200757781766103,0.4931189474979867,45.0
2003,0,100,0.45871559633027525,PT,981752.0,0.8626896177811677,0.40847803118855264,91.0
2003,1,102,0.46788990825688076,UY,156261.0,0.1373103822188323,0.49798057131584217,66.0
2004,0,154,0.7064220183486238,CA,1217906.0,0.9942950165483707,0.41800377307191117,92.0
2004,1,51,0.23394495412844038,PE,6988.0,0.005704983451629284,0.5263464763198422,41.0
2005,0,118,0.5412844036697247,FI,1356521.0,0.9809582074161173,0.37510536575471515,109.0
2005,1,84,0.3853211009174312,CO,26332.0,0.019041792583882743,0.4550291910500813,41.0
2006,0,132,0.6055045871559633,CL,937368.0,0.5941045124709798,0.4210592567733041,55.0
2006,1,75,0.3440366972477064,CN,640415.0,0.40589548752902016,0.4063827705869791,9.0
2007,0,107,0.4908256880733945,PT,1500414.0,0.8758079287779371,0.3893235002938185,40.0
2007,1,103,0.4724770642201835,UY,212763.0,0.12419207122206287,0.4665196031727591,11.0
2008,0,147,0.6743119266055045,NO,1830714.0,0.9871792244768104,0.40056347242748874,102.0
2008,1,61,0.2798165137614679,PE,23776.0,0.012820775523189665,0.46269831422069374,55.0
2009,0,110,0.5045871559633027,BD,1740101.0,0.8654854967474058,0.3736291150067996,103.0
2009,1,97,0.44495412844036697,CR,270448.0,0.1345145032525942,0.42820253446104023,56.0
2010,0,114,0.5229357798165137,CL,840343.0,0.3947401673484899,0.4224799269300808,27.0
2010,1,92,0.42201834862385323,JO,1288508.0,0.6052598326515102,0.37725083514959995,10.0
2011,0,104,0.47706422018348627,BD,1956820.0,0.8415141595523438,0.3792932534102163,24.0
2011,1,105,0.481651376146789,CO,368536.0,0.15848584044765618,0.3904450157796764,14.0
2012,0,93,0.42660550458715596,BG,1781158.0,0.7453548134937008,0.3747546163586937,81.0
2012,1,115,0.5275229357798165,CL,608520.0,0.2546451865062992,0.3964381351698694,93.0
2013,0,118,0.5412844036697247,AT,2236342.0,0.870727962874349,0.3709595591006915,87.0
2013,1,91,0.41743119266055045,CO,332017.0,0.12927203712565105,0.36185208257957924,84.0
2014,0,127,0.5825688073394495,AT,2472684.0,0.911660832102821,0.37992378482801514,109.0
2014,1,85,0.38990825688073394,CO,239601.0,0.08833916789717895,0.37786960054055374,74.0
2015,0,122,0.5596330275229358,AT,2460894.0,0.9043417993318387,0.3553475194314414,110.0
2015,1,86,0.3944954128440367,CL,260305.0,0.09565820066816134,0.3591957140954491,72.0
2016,0,138,0.6330275229357798,SE,2474827.0,0.8990641813221345,0.35627285755295784,115.0
2016,1,76,0.3486238532110092,CL,277843.0,0.1009358186778655,0.35648596376804575,63.0
2017,0,132,0.6055045871559633,SE,2597802.0,0.8878272275464778,0.31902729031131805,121.0
2017,1,77,0.3532110091743119,ZW,328220.0,0.11217277245352222,0.3393811804103544,63.0
2018,0,134,0.6146788990825688,SE,2774434.0,0.8664582578606138,0.31780680409695117,118.0
2018,1,79,0.3623853211009174,ZW,427606.0,0.13354174213938613,0.33444963385131904,62.0
2019,0,123,0.5642201834862385,SE,2751870.0,0.8128383725096419,0.34031086119473747,108.0
2019,1,92,0.42201834862385323,ZW,633637.0,0.18716162749035817,0.3286381604965435,66.0
2020,0,124,0.5688073394495413,SE,3250669.0,0.8654842945598068,0.32141924114897374,106.0
2020,1,89,0.40825688073394495,AF,505227.0,0.13451570544019323,0.3147267734293425,73.0
2021,0,113,0.518348623853211,SE,3283449.0,0.8262421189973214,0.3208073373468557,104.0
2021,1,102,0.46788990825688076,RW,690506.0,0.1737578810026787,0.28475546474570945,81.0
2022,0,111,0.5091743119266054,CA,3206040.0,0.7974327264695611,0.32660813190630383,97.0
2022,1,103,0.4724770642201835,CL,814412.0,0.20256727353043888,0.29398640400006143,87.0
2023,0,126,0.5779816513761468,CA,3377470.0,0.8537318714651332,0.32309106254357994,100.0
2023,1,90,0.41284403669724773,PE,578655.0,0.14626812853486681,0.3136377696285387,77.0
