name,note,param,param_value,silhouette_score,dunn_index,n_clusters,max_cluster,max_cluster_percent,min_cluster,min_cluster_percent,min_max_ratio
linkage,"Hierarchical, average",distance,0.15,0.20726191306994846,0.1657274481733385,36,43,0.19907407407407407,1,0.004629629629629629,0.023255813953488372
linkage,"Hierarchical, average",distance,0.2,0.24964228001931266,0.18465841167742567,19,82,0.37962962962962965,1,0.004629629629629629,0.012195121951219511
linkage,"Hierarchical, average",distance,0.3,0.26519083154050993,0.19698631813699927,10,178,0.8240740740740741,1,0.004629629629629629,0.0056179775280898875
linkage,"Hierarchical, average",distance,0.4,0.356578083013084,0.27161815946017864,6,178,0.8240740740740741,1,0.004629629629629629,0.0056179775280898875
linkage,"Hierarchical, average",distance,0.5,0.44913587749272144,1.082197795794696,4,197,0.9120370370370371,1,0.004629629629629629,0.005076142131979695
linkage,"Hierarchical, average",maxclust,2.0,0.6507872496564118,0.9999999999999998,2,215,0.9953703703703703,1,0.004629629629629629,0.004651162790697674
linkage,"Hierarchical, average",maxclust,3.0,0.5083550074406887,1.0,3,206,0.9537037037037037,1,0.004629629629629629,0.0048543689320388345
linkage,"Hierarchical, average",maxclust,4.0,0.44913587749272144,1.082197795794696,4,197,0.9120370370370371,1,0.004629629629629629,0.005076142131979695
linkage,"Hierarchical, average",maxclust,5.0,0.40320426194918885,0.21908504528597747,5,179,0.8287037037037037,1,0.004629629629629629,0.005586592178770949
linkage,"Hierarchical, average",maxclust,6.0,0.356578083013084,0.27161815946017864,6,178,0.8240740740740741,1,0.004629629629629629,0.0056179775280898875
agglomearative,"Hierarchical, average",n_clusters,2.0,0.6507872496564118,0.9999999999999998,2,215,0.9953703703703703,1,0.004629629629629629,0.004651162790697674
agglomearative,"Hierarchical, average",n_clusters,3.0,0.5083550074406887,0.1589857971105549,3,206,0.9537037037037037,1,0.004629629629629629,0.0048543689320388345
agglomearative,"Hierarchical, average",n_clusters,4.0,0.44913587749272144,0.12477921081776029,4,197,0.9120370370370371,1,0.004629629629629629,0.005076142131979695
agglomearative,"Hierarchical, average",n_clusters,5.0,0.40320426194918885,0.14612626177693724,5,179,0.8287037037037037,1,0.004629629629629629,0.005586592178770949
agglomearative,"Hierarchical, average",n_clusters,6.0,0.356578083013084,0.18116501845590985,6,178,0.8240740740740741,1,0.004629629629629629,0.0056179775280898875
dbscan,"Density-based, average, min_samples=50",eps,0.15,0.3800719328807056,0.06398345864830136,2,168,0.7777777777777778,48,0.2222222222222222,0.2857142857142857
dbscan,"Density-based, average, min_samples=50",eps,0.2,0.4808191466577891,0.11553658922079965,2,189,0.875,27,0.125,0.14285714285714285
dbscan,"Density-based, average, min_samples=50",eps,0.3,0.566782542526384,0.14451056947550633,2,204,0.9444444444444444,12,0.05555555555555555,0.058823529411764705
dbscan,"Density-based, average, min_samples=50",eps,0.4,0.6104421548477043,0.15809614924659157,2,213,0.9861111111111112,3,0.013888888888888888,0.01408450704225352
dbscan,"Density-based, average, min_samples=50",eps,0.5,0.6507872496564118,0.9999999999999998,2,215,0.9953703703703703,1,0.004629629629629629,0.004651162790697674
dbscan,"Density-based, average, eps=0.2",min_samples,10.0,0.5473923172484716,0.19809014411713055,2,202,0.9351851851851852,14,0.06481481481481481,0.0693069306930693
dbscan,"Density-based, average, eps=0.2",min_samples,20.0,0.5052536757976371,0.09759759759759752,2,195,0.9027777777777778,21,0.09722222222222222,0.1076923076923077
dbscan,"Density-based, average, eps=0.2",min_samples,30.0,0.5052536757976371,0.09759759759759752,2,195,0.9027777777777778,21,0.09722222222222222,0.1076923076923077
dbscan,"Density-based, average, eps=0.2",min_samples,40.0,0.4837390914661539,0.11553658922079965,2,190,0.8796296296296297,26,0.12037037037037036,0.13684210526315788
optics,"Density-based, average, eps=0.2",min_samples,10.0,-0.24184239399797852,0.034099000026217845,2,203,0.9398148148148148,13,0.06018518518518518,0.06403940886699508
optics,"Density-based, average, eps=0.3",min_samples,10.0,-0.24184239399797852,0.034099000026217845,2,203,0.9398148148148148,13,0.06018518518518518,0.06403940886699508
optics,"Density-based, average, eps=0.5",min_samples,10.0,-0.24184239399797852,0.034099000026217845,2,203,0.9398148148148148,13,0.06018518518518518,0.06403940886699508
optics,"Density-based, average, eps=0.2",min_samples,5.0,-0.29816891802929474,0.014212898772496308,8,162,0.75,5,0.023148148148148147,0.030864197530864196
optics,"Density-based, average, min_samples=10",max_eps,0.15,-0.24184239399797852,0.034099000026217845,2,203,0.9398148148148148,13,0.06018518518518518,0.06403940886699508
optics,"Density-based, average, min_samples=10",max_eps,0.2,-0.24184239399797852,0.034099000026217845,2,203,0.9398148148148148,13,0.06018518518518518,0.06403940886699508
optics,"Density-based, average, min_samples=10",max_eps,0.3,-0.24184239399797852,0.034099000026217845,2,203,0.9398148148148148,13,0.06018518518518518,0.06403940886699508
optics,"Density-based, average, min_samples=10",max_eps,0.4,-0.24184239399797852,0.034099000026217845,2,203,0.9398148148148148,13,0.06018518518518518,0.06403940886699508
optics,"Density-based, average, min_samples=10",max_eps,0.5,-0.24184239399797852,0.034099000026217845,2,203,0.9398148148148148,13,0.06018518518518518,0.06403940886699508
k-medoids,K-medoids,n_clusters,2.0,0.2639329200031784,0.0308131496909543,2,126,0.5833333333333334,90,0.4166666666666667,0.7142857142857143
k-medoids,K-medoids,n_clusters,3.0,0.25981157936339444,0.025591153562381133,3,78,0.3611111111111111,66,0.3055555555555556,0.8461538461538463
k-medoids,K-medoids,n_clusters,4.0,0.26231584379913847,0.025591153562381133,4,78,0.3611111111111111,10,0.046296296296296294,0.1282051282051282
k-medoids,K-medoids,n_clusters,5.0,0.2305101231904563,0.029503213279360754,5,58,0.26851851851851855,10,0.046296296296296294,0.17241379310344826
k-medoids,K-medoids,n_clusters,6.0,0.24656702076310666,0.029503213279360754,6,58,0.26851851851851855,9,0.041666666666666664,0.15517241379310343
spectral,"K-means in sprectral space, sigma=0.01",n_clusters,2.0,0.2640936332803854,0.9999999999999998,2,215,0.9953703703703703,1,0.004629629629629629,0.004651162790697674
spectral,"K-means in sprectral space, sigma=0.01",n_clusters,3.0,0.2640936332803854,0.9999999999999998,2,215,0.9953703703703703,1,0.004629629629629629,0.004651162790697674
spectral,"K-means in sprectral space, sigma=0.01",n_clusters,4.0,0.20475602702248807,0.1738812732165203,3,213,0.9861111111111112,1,0.004629629629629629,0.004694835680751173
spectral,"K-means in sprectral space, sigma=0.01",n_clusters,5.0,0.2640936332803854,0.9999999999999998,2,215,0.9953703703703703,1,0.004629629629629629,0.004651162790697674
spectral,"K-means in sprectral space, sigma=0.01",n_clusters,6.0,0.20475602702248807,0.1738812732165203,3,213,0.9861111111111112,1,0.004629629629629629,0.004694835680751173
spectral,"K-means in sprectral space, sigma=0.1",n_clusters,2.0,0.5689929769096602,0.2803030303030302,2,213,0.9861111111111112,3,0.013888888888888888,0.01408450704225352
spectral,"K-means in sprectral space, sigma=0.1",n_clusters,3.0,0.5171852809929245,0.19809014411713055,3,207,0.9583333333333334,3,0.013888888888888888,0.014492753623188404
spectral,"K-means in sprectral space, sigma=0.1",n_clusters,4.0,0.4681711732130427,0.19809014411713055,4,204,0.9444444444444444,3,0.013888888888888888,0.014705882352941176
spectral,"K-means in sprectral space, sigma=0.1",n_clusters,5.0,0.31363776954179307,0.04429039635608666,5,163,0.7546296296296297,3,0.013888888888888888,0.01840490797546012
spectral,"K-means in sprectral space, sigma=0.1",n_clusters,6.0,0.3783473498560251,0.1580961492465916,6,198,0.9166666666666666,2,0.009259259259259259,0.0101010101010101
spectral,"K-means in sprectral space, sigma=0.5",n_clusters,2.0,0.2694376333508106,0.028666202704646253,2,139,0.6435185185185185,77,0.35648148148148145,0.5539568345323741
spectral,"K-means in sprectral space, sigma=0.5",n_clusters,3.0,0.31122621856791616,0.030109749487418708,3,128,0.5925925925925926,14,0.06481481481481481,0.109375
spectral,"K-means in sprectral space, sigma=0.5",n_clusters,4.0,0.35757344112361233,0.04686470778990465,4,161,0.7453703703703703,4,0.018518518518518517,0.024844720496894408
spectral,"K-means in sprectral space, sigma=0.5",n_clusters,5.0,0.36577019746890654,0.07644705502114969,5,159,0.7361111111111112,1,0.004629629629629629,0.006289308176100628
spectral,"K-means in sprectral space, sigma=0.5",n_clusters,6.0,0.24409419034289281,0.041714732807997194,6,104,0.48148148148148145,1,0.004629629629629629,0.009615384615384616
