country,mode,year,entropy,norm_entropy,total_articles,log_total_articles,gini
AE,individual,1970,2.7408754363330603,0.49604538605729853,34.0,3.5263605246161616,0.32352941176470584
AF,individual,1970,1.6094379124341005,0.29127710074877444,5.0,1.6094379124341003,0.0
AM,individual,1970,3.1267565614587345,0.5658823984029883,65.0,4.174387269895637,0.3833333333333335
AO,individual,1970,0.6931471805599453,0.12544621919607912,2.0,0.6931471805599453,0.0
AR,individual,1970,4.278804873153392,0.7743808372433125,873.0,6.771935555839602,0.6007977707911905
AT,individual,1970,4.415182475273717,0.7990625427292982,823.0,6.71295620067707,0.5413122721749697
AU,individual,1970,4.812744760406137,0.8710136188694723,4434.0,8.397057390176256,0.5692090047976379
AW,individual,1970,-0.0,-0.0,1.0,0.0,0.0
AZ,individual,1970,2.4560084354300495,0.4444899743940201,37.0,3.6109179126442243,0.4138513513513513
BA,individual,1970,2.6701198898068172,0.48324000208141743,17.0,2.833213344056216,0.10196078431372557
BB,individual,1970,-0.0,-0.0,1.0,0.0,0.0
BD,individual,1970,4.28039372658869,0.7746683889522493,2728.0,7.911324018963353,0.6538673020527859
BE,individual,1970,4.593952592958367,0.8314164727426339,1189.0,7.080867896690782,0.5549401712669164
BF,individual,1970,-0.0,-0.0,1.0,0.0,0.0
BG,individual,1970,3.4708969500418307,0.6281651456047356,345.0,5.84354441703136,0.601571503404924
BH,individual,1970,-0.0,-0.0,1.0,0.0,0.0
BI,individual,1970,2.0982737395252498,0.37974692077550337,11.0,2.3978952727983707,0.16161616161616155
BJ,individual,1970,2.0837660374856477,0.3771213075996392,15.0,2.70805020110221,0.25185185185185177
BM,individual,1970,1.0397207708399179,0.18816932879411866,4.0,1.3862943611198906,0.16666666666666674
BN,individual,1970,1.7478680974667575,0.31633028400046437,7.0,1.9459101490553132,0.11904761904761907
BO,individual,1970,2.4260151319598084,0.4390617671862769,16.0,2.772588722239781,0.16666666666666674
BR,individual,1970,4.361218826369534,0.7892961671038707,984.0,6.891625897052253,0.5738255033557047
BS,individual,1970,-0.0,-0.0,1.0,0.0,0.0
BT,individual,1970,-0.0,-0.0,1.0,0.0,0.0
BW,individual,1970,1.7478680974667573,0.3163302840004643,7.0,1.9459101490553132,0.11904761904761907
BY,individual,1970,3.051691014608031,0.5522969878171733,53.0,3.970291913552122,0.341799709724238
CA,individual,1970,4.7595650398198455,0.8613891190914238,7248.0,8.888480847722816,0.6132923368022707
CD,individual,1970,1.3862943611198906,0.25089243839215825,4.0,1.3862943611198906,0.0
CG,individual,1970,-0.0,-0.0,1.0,0.0,0.0
CH,individual,1970,4.552786206455533,0.8239661538355105,1494.0,7.309212365692763,0.5766931361810881
CI,individual,1970,1.8310204811135162,0.33137925547171976,9.0,2.1972245773362196,0.19047619047619047
CL,individual,1970,4.094815577024001,0.7410823369834765,255.0,5.541263545158426,0.4618300653594771
CM,individual,1970,2.5232109529528914,0.4566523289128519,15.0,2.70805020110221,0.11282051282051286
CN,individual,1970,4.296550210733808,0.777592399766041,381.0,5.942799375126701,0.49926112177154325
CO,individual,1970,4.238579758228817,0.7671008702672666,306.0,5.723585101952381,0.4492810457516341
CR,individual,1970,2.8121392804999665,0.5089427620646497,89.0,4.48863636973214,0.5216207013959824
CU,individual,1970,2.7555497906641797,0.4987011600712611,21.0,3.044522437723423,0.16246498599439785
CY,individual,1970,1.0986122886681096,0.19882755328303184,3.0,1.0986122886681098,0.0
CZ,individual,1970,4.31485821745384,0.7809057945088272,916.0,6.82001636467413,0.5955096529533441
DE,individual,1970,4.41850105201446,0.7996631408661932,12596.0,9.441134582220915,0.699530009526834
DK,individual,1970,4.512420681537846,0.816660775369283,980.0,6.887552571664617,0.5586167800453514
DM,individual,1970,-0.0,-0.0,1.0,0.0,0.0
DZ,individual,1970,3.1916531817952785,0.5776274301771149,35.0,3.5553480614894135,0.1846938775510203
EC,individual,1970,3.1849431522152702,0.5764130447404954,127.0,4.844187086458591,0.47542030219195586
EE,individual,1970,3.0197361271389958,0.5465137718851856,27.0,3.295836866004329,0.15656565656565657
EG,individual,1970,4.0800188586622905,0.7384044174491486,341.0,5.831882477283517,0.51102761485826
ES,individual,1970,3.945314554355926,0.7140255464696537,3200.0,8.070906088787819,0.7572375690607733
ET,individual,1970,3.7714480789003795,0.6825590807570951,100.0,4.605170185988092,0.341818181818182
FI,individual,1970,4.390862830849241,0.7946611579573383,939.0,6.844815479208263,0.5666760847043824
FJ,individual,1970,1.791759469228055,0.324273772479111,6.0,1.791759469228055,0.0
FR,individual,1970,4.38506832007378,0.7936124636983711,3868.0,8.260492856573185,0.6514331218996954
GB,individual,1970,4.812602402339888,0.8709878548157708,17920.0,9.793672686528922,0.6082054501488094
GD,individual,1970,-0.0,-0.0,2.0,0.6931471805599453,0.0
GE,individual,1970,2.2718685126965625,0.411164213635225,11.0,2.3978952727983707,0.08181818181818179
GH,individual,1970,4.130060915962866,0.7474610609228759,153.0,5.030437921392435,0.3434724317077258
GI,individual,1970,1.6094379124341005,0.29127710074877444,5.0,1.6094379124341003,0.0
GL,individual,1970,0.6931471805599453,0.12544621919607912,2.0,0.6931471805599453,0.0
GM,individual,1970,0.796311640173813,0.14411698895021946,7.0,1.9459101490553132,0.38095238095238093
GP,individual,1970,-0.0,-0.0,1.0,0.0,0.0
GR,individual,1970,4.231267968056833,0.7657775778145879,167.0,5.117993812416755,0.3437830221909124
GT,individual,1970,2.4036404106149494,0.43501237583477353,14.0,2.6390573296152584,0.13095238095238093
GW,individual,1970,-0.0,-0.0,1.0,0.0,0.0
GY,individual,1970,1.9459101490553132,0.3521720609136298,7.0,1.9459101490553132,0.0
HK,individual,1970,3.7452184339098573,0.6778120228634767,68.0,4.219507705176107,0.23469387755102034
HN,individual,1970,2.4150521219178076,0.43707767463083047,20.0,2.995732273553991,0.2692307692307694
HR,individual,1970,4.067294282310235,0.7361015154984436,289.0,5.666426688112432,0.48163971470941336
HU,individual,1970,4.361398292600025,0.7893286470168243,601.0,6.398594934535208,0.5487544399995281
ID,individual,1970,3.3612502578844423,0.6083212172670494,1957.0,7.579167967396076,0.7690570479597052
IE,individual,1970,4.223226851963528,0.7643222914911162,263.0,5.572154032177765,0.43329997998799286
IL,individual,1970,4.434442798704032,0.802548288358206,1575.0,7.362010551259734,0.6085659863945578
IN,individual,1970,4.503759010287521,0.8150931805773732,4601.0,8.434028950155469,0.6521872619502302
IQ,individual,1970,3.4401385002096605,0.6225984617199927,60.0,4.0943445622221,0.29649122807017525
IR,individual,1970,4.177660972026961,0.7560757494540163,185.0,5.220355825078324,0.379777424483307
IS,individual,1970,2.5575077390756236,0.4628593831580956,21.0,3.044522437723423,0.20748299319727903
