probability,subfield_name,field_name,domain_name
0.002072654294046643,General Agricultural and Biological Sciences,Agricultural and Biological Sciences,Life Sciences
0.0021552865467388107,Agronomy and Crop Science,Agricultural and Biological Sciences,Life Sciences
0.0019795218103493928,Animal Science and Zoology,Agricultural and Biological Sciences,Life Sciences
0.0011059025907265612,Aquatic Science,Agricultural and Biological Sciences,Life Sciences
0.004576365897441048,"Ecology, Evolution, Behavior and Systematics",Agricultural and Biological Sciences,Life Sciences
0.005169857215119603,Food Science,Agricultural and Biological Sciences,Life Sciences
0.0005486598966046818,Forestry,Agricultural and Biological Sciences,Life Sciences
3.78008316182956e-05,Horticulture,Agricultural and Biological Sciences,Life Sciences
0.0024606150030952855,Insect Science,Agricultural and Biological Sciences,Life Sciences
0.014305240802254171,Plant Science,Agricultural and Biological Sciences,Life Sciences
0.0018479493505378858,Soil Science,Agricultural and Biological Sciences,Life Sciences
0.00024059224955122927,General Arts and Humanities,Arts and Humanities,Social Sciences
0.004582757342400663,History,Arts and Humanities,Social Sciences
0.004377683265553581,Language and Linguistics,Arts and Humanities,Social Sciences
0.0030449756851172465,Archeology,Arts and Humanities,Social Sciences
0.0010605233315132932,Classics,Arts and Humanities,Social Sciences
0.0008514317749773103,Conservation,Arts and Humanities,Social Sciences
0.0025919135438370947,History and Philosophy of Science,Arts and Humanities,Social Sciences
0.005784622913878018,Literature and Literary Theory,Arts and Humanities,Social Sciences
0.001801017883262997,Museology,Arts and Humanities,Social Sciences
0.0011282726480852144,Music,Arts and Humanities,Social Sciences
0.005153604683650867,Philosophy,Arts and Humanities,Social Sciences
0.0019878306887968927,Religious studies,Arts and Humanities,Social Sciences
0.002011113809721205,Visual Arts and Performing Arts,Arts and Humanities,Social Sciences
0.0005513990873016598,Aging,"Biochemistry, Genetics and Molecular Biology",Life Sciences
0.0008259573014954155,Biochemistry,"Biochemistry, Genetics and Molecular Biology",Life Sciences
0.0030806764705345255,Biophysics,"Biochemistry, Genetics and Molecular Biology",Life Sciences
0.0014414534511063592,Biotechnology,"Biochemistry, Genetics and Molecular Biology",Life Sciences
0.004552169712951077,Cancer Research,"Biochemistry, Genetics and Molecular Biology",Life Sciences
0.004329290896573638,Cell Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences
0.0010444534127576894,Clinical Biochemistry,"Biochemistry, Genetics and Molecular Biology",Life Sciences
0.000310167693254469,Developmental Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences
0.0008893239129521719,Endocrinology,"Biochemistry, Genetics and Molecular Biology",Life Sciences
0.009999233026604847,Genetics,"Biochemistry, Genetics and Molecular Biology",Life Sciences
0.03561048343063548,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences
0.0015291075534096532,Molecular Medicine,"Biochemistry, Genetics and Molecular Biology",Life Sciences
0.0004969804987883646,Physiology,"Biochemistry, Genetics and Molecular Biology",Life Sciences
0.00025136639962600914,Structural Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences
0.003938225771401753,Accounting,"Business, Management and Accounting",Social Sciences
0.00036212101014048396,Business and International Management,"Business, Management and Accounting",Social Sciences
0.002914224982514833,Management Information Systems,"Business, Management and Accounting",Social Sciences
0.002469745638751879,Management of Technology and Innovation,"Business, Management and Accounting",Social Sciences
0.0026131879249169567,Marketing,"Business, Management and Accounting",Social Sciences
0.0035467041144470394,Organizational Behavior and Human Resource Management,"Business, Management and Accounting",Social Sciences
0.0056448328819755774,Strategy and Management,"Business, Management and Accounting",Social Sciences
0.0002372139143582898,"Tourism, Leisure and Hospitality Management","Business, Management and Accounting",Social Sciences
4.930543254560296e-05,Industrial relations,"Business, Management and Accounting",Social Sciences
0.0004604579561619921,Bioengineering,Chemical Engineering,Physical Sciences
0.0010069265002090916,Catalysis,Chemical Engineering,Physical Sciences
6.373183688302012e-05,Chemical Health and Safety,Chemical Engineering,Physical Sciences
8.601058788510739e-05,Filtration and Separation,Chemical Engineering,Physical Sciences
0.0008903282828743971,Fluid Flow and Transfer Processes,Chemical Engineering,Physical Sciences
0.0003212157623989467,Process Chemistry and Technology,Chemical Engineering,Physical Sciences
0.0015054592070590771,Analytical Chemistry,Chemistry,Physical Sciences
0.00046767115833070067,Electrochemistry,Chemistry,Physical Sciences
0.0025794045729875623,Inorganic Chemistry,Chemistry,Physical Sciences
0.0076110239642663445,Organic Chemistry,Chemistry,Physical Sciences
0.0009755171135504111,Physical and Theoretical Chemistry,Chemistry,Physical Sciences
0.0026949071140434655,Spectroscopy,Chemistry,Physical Sciences
0.019002496315788514,Artificial Intelligence,Computer Science,Physical Sciences
0.004372661415942455,Computational Theory and Mathematics,Computer Science,Physical Sciences
0.0004537925921326791,Computer Graphics and Computer-Aided Design,Computer Science,Physical Sciences
0.00848208660590533,Computer Networks and Communications,Computer Science,Physical Sciences
0.002053023427384968,Computer Science Applications,Computer Science,Physical Sciences
0.009724766118767656,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
0.0014303140756053154,Hardware and Architecture,Computer Science,Physical Sciences
0.0021087203048901857,Human-Computer Interaction,Computer Science,Physical Sciences
0.009049920837388857,Information Systems,Computer Science,Physical Sciences
0.002715633656983932,Signal Processing,Computer Science,Physical Sciences
0.000653662206655503,Software,Computer Science,Physical Sciences
0.00033272036332625406,General Decision Sciences,Decision Sciences,Social Sciences
0.0020823327678426316,Information Systems and Management,Decision Sciences,Social Sciences
0.004681276901135303,Management Science and Operations Research,Decision Sciences,Social Sciences
0.0019390730943906853,"Statistics, Probability and Uncertainty",Decision Sciences,Social Sciences
0.004301990295960424,Atmospheric Science,Earth and Planetary Sciences,Physical Sciences
0.0009727779228534332,Earth-Surface Processes,Earth and Planetary Sciences,Physical Sciences
0.0006917369573434963,Geochemistry and Petrology,Earth and Planetary Sciences,Physical Sciences
0.0008901456701612653,Geology,Earth and Planetary Sciences,Physical Sciences
0.016358538148708836,Geophysics,Earth and Planetary Sciences,Physical Sciences
0.0024934852914590207,Oceanography,Earth and Planetary Sciences,Physical Sciences
0.001019709390128322,Paleontology,Earth and Planetary Sciences,Physical Sciences
0.00019786087467837336,Space and Planetary Science,Earth and Planetary Sciences,Physical Sciences
0.0021753739451833157,"General Economics, Econometrics and Finance","Economics, Econometrics and Finance",Social Sciences
0.014468222648724358,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences
0.003754699994704231,Finance,"Economics, Econometrics and Finance",Social Sciences
0.0001976782619652415,General Energy,Energy,Physical Sciences
0.00043680960981141585,Energy Engineering and Power Technology,Energy,Physical Sciences
1.826127131318628e-05,Fuel Technology,Energy,Physical Sciences
1.5795999685906132e-05,Nuclear Energy and Engineering,Energy,Physical Sciences
0.005701260210333323,"Renewable Energy, Sustainability and the Environment",Energy,Physical Sciences
9.587167439422797e-06,General Engineering,Engineering,Physical Sciences
0.007969584026500756,Aerospace Engineering,Engineering,Physical Sciences
0.0037421910238546988,Automotive Engineering,Engineering,Physical Sciences
0.01933622104903699,Biomedical Engineering,Engineering,Physical Sciences
0.007977527679521992,Civil and Structural Engineering,Engineering,Physical Sciences
0.0056491242807341765,Computational Mechanics,Engineering,Physical Sciences
0.007374540500760582,Control and Systems Engineering,Engineering,Physical Sciences
0.029412790559653183,Electrical and Electronic Engineering,Engineering,Physical Sciences
0.0033074814602442994,Industrial and Manufacturing Engineering,Engineering,Physical Sciences
0.012893187997962042,Mechanical Engineering,Engineering,Physical Sciences
0.005134612961485153,Mechanics of Materials,Engineering,Physical Sciences
0.003571082911650143,Ocean Engineering,Engineering,Physical Sciences
0.0016464362215968752,"Safety, Risk, Reliability and Quality",Engineering,Physical Sciences
0.0029012594798824703,Media Technology,Engineering,Physical Sciences
0.004721269085311181,Building and Construction,Engineering,Physical Sciences
0.0006225267390665203,Architecture,Engineering,Physical Sciences
0.0008467751507924479,Ecological Modeling,Environmental Science,Physical Sciences
0.007239133173973305,Ecology,Environmental Science,Physical Sciences
0.015407765057787792,Environmental Chemistry,Environmental Science,Physical Sciences
0.00408057238128804,Environmental Engineering,Environmental Science,Physical Sciences
0.0073846755063394,Global and Planetary Change,Environmental Science,Physical Sciences
0.004427171310812316,"Health, Toxicology and Mutagenesis",Environmental Science,Physical Sciences
0.0032461235886319935,"Management, Monitoring, Policy and Law",Environmental Science,Physical Sciences
0.002549182168964239,Nature and Landscape Conservation,Environmental Science,Physical Sciences
0.003224027450343038,Pollution,Environmental Science,Physical Sciences
0.0015657214023925919,Waste Management and Disposal,Environmental Science,Physical Sciences
0.003824092825694339,Water Science and Technology,Environmental Science,Physical Sciences
0.0005935826240351201,Applied Microbiology and Biotechnology,Immunology and Microbiology,Life Sciences
0.007075968714789986,Immunology,Immunology and Microbiology,Life Sciences
0.001380369498563751,Microbiology,Immunology and Microbiology,Life Sciences
0.00140036559065169,Parasitology,Immunology and Microbiology,Life Sciences
0.0008075134174690973,Virology,Immunology and Microbiology,Life Sciences
0.0003229505831736994,General Materials Science,Materials Science,Physical Sciences
0.0037368952551738747,Biomaterials,Materials Science,Physical Sciences
