from,variable,value,step_from,step_to
Health Sciences,Physical Sciences,57,2000,2010
Health Sciences,Health Sciences,2099,2000,2010
Health Sciences,Social Sciences,0,2000,2010
Health Sciences,Life Sciences,0,2000,2010
Life Sciences,Physical Sciences,0,2000,2010
Life Sciences,Health Sciences,0,2000,2010
Life Sciences,Social Sciences,0,2000,2010
Life Sciences,Life Sciences,1395,2000,2010
Physical Sciences,Physical Sciences,4976,2000,2010
Physical Sciences,Health Sciences,0,2000,2010
Physical Sciences,Social Sciences,0,2000,2010
Physical Sciences,Life Sciences,0,2000,2010
Social Sciences,Physical Sciences,60,2000,2010
Social Sciences,Health Sciences,0,2000,2010
Social Sciences,Social Sciences,1317,2000,2010
Social Sciences,Life Sciences,96,2000,2010
Health Sciences,Physical Sciences,0,2010,2014
Health Sciences,Health Sciences,2181,2010,2014
Health Sciences,Life Sciences,3,2010,2014
Health Sciences,Social Sciences,0,2010,2014
Life Sciences,Physical Sciences,0,2010,2014
Life Sciences,Health Sciences,0,2010,2014
Life Sciences,Life Sciences,1391,2010,2014
Life Sciences,Social Sciences,0,2010,2014
Physical Sciences,Physical Sciences,4988,2010,2014
Physical Sciences,Health Sciences,0,2010,2014
Physical Sciences,Life Sciences,69,2010,2014
Physical Sciences,Social Sciences,0,2010,2014
Social Sciences,Physical Sciences,0,2010,2014
Social Sciences,Health Sciences,0,2010,2014
Social Sciences,Life Sciences,59,2010,2014
Social Sciences,Social Sciences,1309,2010,2014
Health Sciences,Physical Sciences,0,2014,2015
Health Sciences,Health Sciences,1828,2014,2015
Health Sciences,Life Sciences,0,2014,2015
Health Sciences,Social Sciences,360,2014,2015
Life Sciences,Physical Sciences,0,2014,2015
Life Sciences,Health Sciences,0,2014,2015
Life Sciences,Life Sciences,1124,2014,2015
Life Sciences,Social Sciences,313,2014,2015
Physical Sciences,Physical Sciences,2634,2014,2015
Physical Sciences,Health Sciences,0,2014,2015
Physical Sciences,Life Sciences,0,2014,2015
Physical Sciences,Social Sciences,2446,2014,2015
Social Sciences,Physical Sciences,0,2014,2015
Social Sciences,Health Sciences,0,2014,2015
Social Sciences,Life Sciences,0,2014,2015
Social Sciences,Social Sciences,1295,2014,2015
Health Sciences,Social Sciences,0,2015,2020
Health Sciences,Physical Sciences,0,2015,2020
Health Sciences,Health Sciences,1875,2015,2020
Health Sciences,Life Sciences,0,2015,2020
Life Sciences,Social Sciences,0,2015,2020
Life Sciences,Physical Sciences,0,2015,2020
Life Sciences,Health Sciences,61,2015,2020
Life Sciences,Life Sciences,1142,2015,2020
Physical Sciences,Social Sciences,0,2015,2020
Physical Sciences,Physical Sciences,2706,2015,2020
Physical Sciences,Health Sciences,13,2015,2020
Physical Sciences,Life Sciences,0,2015,2020
Social Sciences,Social Sciences,3984,2015,2020
Social Sciences,Physical Sciences,0,2015,2020
Social Sciences,Health Sciences,219,2015,2020
Social Sciences,Life Sciences,0,2015,2020
Health Sciences,Social Sciences,461,2020,2023
Health Sciences,Physical Sciences,0,2020,2023
Health Sciences,Health Sciences,1649,2020,2023
Health Sciences,Life Sciences,0,2020,2023
Life Sciences,Social Sciences,60,2020,2023
Life Sciences,Physical Sciences,0,2020,2023
Life Sciences,Health Sciences,0,2020,2023
Life Sciences,Life Sciences,1100,2020,2023
Physical Sciences,Social Sciences,73,2020,2023
Physical Sciences,Physical Sciences,2632,2020,2023
Physical Sciences,Health Sciences,0,2020,2023
Physical Sciences,Life Sciences,0,2020,2023
Social Sciences,Social Sciences,4025,2020,2023
Social Sciences,Physical Sciences,0,2020,2023
Social Sciences,Health Sciences,0,2020,2023
Social Sciences,Life Sciences,0,2020,2023
